Wavelength (nm),n,k
442.57,1.97740793,0.006438983
444.16,1.97547316,0.006330804
445.75,1.97355117,0.006225654
447.34,1.97164168,0.006123451
448.93,1.96974428,0.006024108
450.52,1.9678587,0.005927547
452.11,1.96598463,0.00583369
453.7,1.96412169,0.005742458
455.29,1.96226965,0.005653781
456.88,1.96042814,0.005567586
458.47,1.95859694,0.005483806
460.06,1.95677571,0.005402372
461.65,1.95496423,0.005323224
463.24,1.95316225,0.005246298
464.84,1.95136949,0.005171534
466.43,1.94958565,0.005098872
468.02,1.94781049,0.005028255
469.61,1.94604388,0.004959633
471.2,1.94428546,0.004892949
472.79,1.94253502,0.004828151
474.38,1.94079243,0.004765194
475.97,1.93905737,0.004704026
477.56,1.93732964,0.0046446
479.15,1.93560912,0.004586875
480.74,1.93389551,0.004530803
482.33,1.93218866,0.004476344
483.92,1.93048833,0.004423454
485.51,1.92879438,0.004372096
487.1,1.92710663,0.004322232
488.69,1.92542489,0.004273823
490.28,1.92374899,0.004226833
491.87,1.9220787,0.004181225
493.46,1.92041391,0.004136968
495.05,1.91875441,0.004094026
496.64,1.91710012,0.004052371
498.23,1.91545079,0.004011968
499.82,1.91380632,0.003972788
501.41,1.91216656,0.003934802
503,1.91053135,0.003897982
504.59,1.90890051,0.003862299
506.18,1.90727398,0.003827729
507.77,1.90565154,0.003794243
509.36,1.9040331,0.003761818
510.94,1.90241851,0.003730428
512.53,1.90080761,0.00370005
514.12,1.89920036,0.003670662
515.71,1.89759653,0.003642239
517.3,1.89599606,0.003614762
518.89,1.89439883,0.003588209
520.48,1.89280471,0.00356256
522.07,1.89121359,0.003537795
523.66,1.88962536,0.003513894
525.25,1.88803986,0.003490838
526.84,1.88645706,0.003468611
528.43,1.88487678,0.003447193
530.02,1.883299,0.003426568
531.6,1.88172353,0.003406719
533.19,1.8801503,0.003387631
534.78,1.87857922,0.003369286
536.37,1.87701019,0.003351671
537.96,1.87544312,0.00333477
539.55,1.87387791,0.003318569
541.14,1.87231447,0.003303054
542.73,1.87075271,0.003288211
544.31,1.86919254,0.003274027
545.9,1.86763388,0.00326049
547.49,1.86607663,0.003247586
549.08,1.86452071,0.003235304
550.67,1.86296604,0.003223632
552.26,1.86141254,0.003212558
553.84,1.85986012,0.003202071
555.43,1.85830872,0.003192161
557.02,1.85675824,0.003182817
558.61,1.85520862,0.003174028
560.2,1.85365978,0.003165785
561.78,1.8521117,0.003158079
563.37,1.8505642,0.003150899
564.96,1.84901726,0.003144236
566.55,1.84747086,0.003138082
568.14,1.84592483,0.003132428
569.72,1.84437921,0.003127266
571.31,1.84283388,0.003122587
572.9,1.84128872,0.003118383
574.49,1.83974377,0.003114647
576.07,1.8381989,0.003111372
577.66,1.83665412,0.00310855
579.25,1.83510926,0.003106173
580.84,1.8335643,0.003104235
582.42,1.83201924,0.00310273
584.01,1.83047397,0.00310165
585.6,1.82892843,0.00310099
587.18,1.82738256,0.003100742
588.77,1.8258363,0.003100902
590.36,1.82428966,0.003101463
591.95,1.82274246,0.00310242
593.53,1.82119477,0.003103767
595.12,1.81964647,0.003105499
596.71,1.81809757,0.00310761
598.29,1.81654791,0.003110095
599.88,1.81499753,0.00311295
601.47,1.81344635,0.00311617
603.05,1.8118943,0.00311975
604.64,1.81034139,0.003123685
606.23,1.80878748,0.003127972
607.81,1.80723261,0.003132605
609.4,1.80567673,0.00313758
610.98,1.8041197,0.003142895
612.57,1.80256157,0.003148544
614.16,1.80100225,0.003154524
615.74,1.79944173,0.00316083
617.33,1.79787989,0.003167461
618.91,1.79631676,0.003174411
620.5,1.79475232,0.003181678
622.09,1.79318641,0.003189258
623.67,1.79161909,0.003197149
625.26,1.79005032,0.003205346
626.84,1.78847996,0.003213847
628.43,1.78690807,0.003222649
630.01,1.78533461,0.003231748
631.6,1.78375948,0.003241144
633.18,1.78218266,0.003250832
634.77,1.78060409,0.00326081
636.35,1.77902379,0.003271075
637.94,1.77744167,0.003281625
639.52,1.77585774,0.003292458
641.11,1.77427191,0.003303572
642.69,1.77268421,0.003314963
644.28,1.77109453,0.00332663
645.86,1.76950285,0.003338571
647.45,1.76790917,0.003350784
649.03,1.76631342,0.003363266
650.62,1.76471561,0.003376017
652.2,1.76311564,0.003389033
653.79,1.76151354,0.003402314
655.37,1.75990922,0.003415857
656.96,1.7583027,0.003429661
658.54,1.75669389,0.003443724
660.12,1.75508276,0.003458046
661.71,1.75346933,0.003472623
663.29,1.75185356,0.003487454
664.88,1.75023537,0.00350254
666.46,1.74861478,0.003517877
