Wavelength (nm),n,k
1405.3533,1.62036,0.06706
1408.7931,1.61914,0.06759
1410,1.61872,0.06777
1412.2335,1.61792,0.06811
1415.6743,1.6167,0.06864
1419.1157,1.61547,0.06917
1420,1.61516,0.06931
1422.5575,1.61425,0.06971
1425.9999,1.61302,0.07025
1429.4427,1.61178,0.07079
1430,1.61158,0.07088
1432.8861,1.61055,0.07133
1436.3301,1.60931,0.07188
1439.7744,1.60807,0.07243
1440,1.60799,0.07247
1443.2194,1.60683,0.07299
1446.6648,1.60558,0.07354
1450,1.60437,0.07408
1450.1106,1.60433,0.0741
1453.557,1.60308,0.07467
1457.0039,1.60183,0.07523
1460,1.60074,0.07573
1460.4514,1.60058,0.0758
1463.8992,1.59932,0.07638
1467.3477,1.59806,0.07695
1470,1.59709,0.0774
1470.7966,1.5968,0.07753
1474.246,1.59553,0.07812
1477.696,1.59426,0.0787
1480,1.59342,0.07909
1481.1464,1.59299,0.07929
1484.5974,1.59172,0.07988
1488.0487,1.59045,0.08048
1490,1.58973,0.08082
1491.5007,1.58917,0.08108
1494.9531,1.58789,0.08168
1498.406,1.58661,0.08229
1500,1.58602,0.08257
1501.8596,1.58532,0.0829
1505.3135,1.58404,0.08351
1508.768,1.58275,0.08413
1510,1.58229,0.08435
1512.2229,1.58146,0.08475
1515.6785,1.58016,0.08537
1519.1344,1.57886,0.086
1520,1.57854,0.08616
1522.5908,1.57756,0.08663
1526.0479,1.57626,0.08726
1529.5052,1.57496,0.0879
1530,1.57477,0.08799
1532.9633,1.57365,0.08854
1536.4218,1.57234,0.08919
1539.8807,1.57103,0.08983
1540,1.57098,0.08986
1543.3402,1.56972,0.09048
1546.8003,1.5684,0.09114
1550,1.56718,0.09175
1550.2607,1.56708,0.0918
1553.7218,1.56576,0.09246
1557.1833,1.56443,0.09313
1560,1.56335,0.09367
1560.6453,1.56311,0.0938
1564.1078,1.56178,0.09447
1567.5708,1.56045,0.09515
1570,1.55951,0.09562
1571.0344,1.55911,0.09583
1574.4983,1.55778,0.09651
1577.9629,1.55644,0.0972
1580,1.55565,0.0976
1581.428,1.5551,0.09789
1584.8934,1.55375,0.09859
1588.3595,1.55241,0.09928
1590,1.55177,0.09962
1591.826,1.55106,0.09999
1595.2931,1.5497,0.1007
1598.7606,1.54835,0.10141
1600,1.54787,0.10166
1602.2288,1.54699,0.10212
1605.6973,1.54563,0.10284
1609.1663,1.54427,0.10356
1610,1.54395,0.10373
1612.6359,1.54291,0.10429
1616.1058,1.54154,0.10502
1619.5764,1.54018,0.10575
1620,1.54001,0.10584
1623.0476,1.5388,0.10649
1626.519,1.53743,0.10723
1629.9911,1.53605,0.10798
1630,1.53605,0.10798
1633.4636,1.53468,0.10873
1636.9368,1.5333,0.10948
1640,1.53208,0.11015
1640.4104,1.53191,0.11024
1643.8844,1.53053,0.111
1647.359,1.52914,0.11177
1650,1.52808,0.11235
1650.8342,1.52775,0.11254
1654.3098,1.52636,0.11331
1657.7858,1.52496,0.11409
1660,1.52407,0.11459
1661.2623,1.52356,0.11487
1664.7395,1.52216,0.11566
1668.217,1.52076,0.11645
1670,1.52004,0.11686
1671.6951,1.51935,0.11724
1675.1738,1.51795,0.11804
1678.653,1.51654,0.11885
1680,1.51599,0.11916
1682.1324,1.51512,0.11965
1685.6125,1.51371,0.12047
1689.0931,1.51229,0.12128
1690,1.51192,0.1215
1700,1.50784,0.12387
1710,1.50373,0.12627
1720,1.49961,0.12872
1730,1.49547,0.13119
1740,1.49132,0.13371
1750,1.48714,0.13626
1760,1.48295,0.13884
1770,1.47875,0.14147
1780,1.47452,0.14413
1790,1.47028,0.14683
1800,1.46603,0.14957
1810,1.46175,0.15235
1820,1.45746,0.15517
1830,1.45316,0.15803
1840,1.44884,0.16093
1850,1.4445,0.16387
1860,1.44015,0.16685
1870,1.43579,0.16987
1880,1.43141,0.17294
1890,1.42701,0.17605
1900,1.42261,0.1792
1910,1.41819,0.1824
1920,1.41375,0.18564
1930,1.40931,0.18893
1940,1.40485,0.19226
1950,1.40038,0.19563
1960,1.39589,0.19906
1970,1.3914,0.20253
1980,1.3869,0.20605
1990,1.38238,0.20961
2000,1.37786,0.21323
